sentence	subj_idx	verb_idx	verb_pos	verb	inflected_verb
NNP case happens to be the one where the accused fought back .	1	2	VBZ	happens	happen
the stadium features dual NNS with seating for 6 , 000 .	1	2	VBZ	features	feature
other historians add that canadian nationalism and belief in independence from the british empire was strongest in french canada , whereas NN was strongest in NNP canada .	1	2	VBP	add	adds
execution in NNP consists of a JJ main loop that repeatedly VBZ each actor 's act method .	0	3	VBZ	consists	consist
when the team VBZ her , they discover NNP 's blood on NNP 's NN and an equally important NN .	2	3	VBZ	examines	examine
NNP NNP NN cross stone structure NNP NNP medieval the base is square below and shaped to JJ above into which a rectangular shaft is set .	10	11	VBZ	is	are
apart from the lake , several attractions on the shores of the lake are the NNP national park known for its scenic beauty in summer and the winter sports of skiing , the NN VBG centre at NNP , the active centres of NNP and NNP .	6	13	VBP	are	is
its finishing attack is the ; it VBZ its land galaxy mode to build speed and then VBZ its robot mode and VBZ a NN NN .	2	3	VBZ	is	are
the film takes place in a fictional central african country ( called NNP , `` the land of peace '' in arabic ) VBZ a civil war .	1	2	VBZ	takes	take
projects include VBN burning and JJ species removal .	0	1	VBP	include	includes
a more accurate and JJ translation of pays would be district ( towns and districts of art and history ) , as the word pays refers to an administrative area centered on a town or village - NN to a district or subdivision of an english county .	23	24	VBZ	pays	pay
NNS may be broadly defined as JJ or JJ small molecules ; the JJ nature of some NNS allows them to form structures such as NNS , NNS , or NNS in an JJ environment .	14	18	VBZ	allows	allow
wikipedia to VB if the only penalty is that the language gets VBN down a little , and if it gives them the NN of knowing that all they have to do is post , and someone will jump to rewrite their article for them .	6	7	VBZ	is	are
if the test results are VBN by unconscious shoulder movements of the patient , a second test course is performed , during which the VBG person holds the patient 's NNS with the hands .	25	26	VBZ	holds	hold
the combination of the behaviour and `` possible '' result is sufficient confirmation .	1	10	VBZ	is	are
the village has a population of 1 , CD .	1	2	VBZ	has	have
this editor is active enough in both the encyclopedia and the community that i am inclined to support .	1	2	VBZ	is	are
the toy version is a NN of beast wars NNP .	2	3	VBZ	is	are
virginia 's all-time bowl record is CD .	4	5	VBZ	is	are
the most JJ aspect for recovery in patients with severe NN is rapid diagnosis and appropriate treatment .	3	11	VBZ	is	are
NNS have many beliefs and practices in common with the religion or party that they have broken off from , but are VBN by a number of JJ differences .	0	1	VBP	have	has
this estimate VBZ the NN required for social services including medical facilities , township etc .	1	2	VBZ	excludes	exclude
shopping , museums , and theatres are available by a public transportation .	5	6	VBP	are	is
four players emerge from the back of the NN , musicians like a cross between NNS and VBG NNS -- and their songs are raw musical wounds of violence and VBD which VBP the crowd into a NN .	1	2	VBP	emerge	emerges
the crop question was also raised on commons , but the image is like that .	11	12	VBZ	is	are
the entries at the top of this page regarding what is happening on the new server are very useful , but would have more meaning if a date was added to each entry .	1	16	VBP	are	is
the date and name of the woman is unknown , but the marriage was soon VBN .	1	7	VBZ	is	are
the values and culture of us technology resources are its soul and identity .	1	8	VBP	are	is
author NNP leonard has stated names are important in the creation of his characters .	5	6	VBP	are	is
you can move pages yourself once your account becomes JJ , meaning once your account is 4 days old and has made 10 edits .	14	15	VBZ	is	are
county route CD NNS from albany street by heading south on route CD while route 27 and county route NNP continue east , VBG with route 18 ( memorial parkway ) a quarter of a mile later .	3	20	VBP	continue	continues
its cars are notable for being the first sports cars to be made in russia .	1	2	VBP	are	is
part of the NNP fort is now a heritage hotel , after its restoration by NNP hotels .	0	5	VBZ	is	are
although it has the same preservation and VBG as the fossils known to belong to the NNP skeleton , it is very NN , which may mean it does n't belong to the skeleton ; this bone is 7 .	36	37	VBZ	is	are
you revolution is NNP 's first mini album , and was JJ in early 2006 .	1	2	VBZ	is	are
the NN type and file extension is identical , thus applications reading this file format need to interpret the embedded information on the color model .	2	6	VBZ	is	are
when NNP 's NNP girlfriend , NNP finds out , she wants him to quit .	4	7	VBZ	finds	find
it is a VBG ingredients of open source NN NNS , although some variants consider it as optional , owing to the high cost .	13	14	VBP	consider	considers
when VBG plots for a school play , two girls talk about `` a normal girl , who 's beautiful .	9	10	VBP	talk	talks
players must find and VB the queen NN and her NN in a mere 15 days , before the NNS make an JJ attack on NNP NNP ( on june 15th ) .	19	20	VBP	make	makes
in the final part of the lecture , NNP VBZ the concept of NNS , citing the phrase JJ door as a recognized JJ phrase in english , adding that to his own taste , in welsh `` JJ doors are RB frequent '' .	39	40	VBP	are	is
finally , the food matrix itself can be protective like in the cheese , where the JJ environment , high fat content and VBG capacity of the matrix helps to protect the JJ cells both in the product and during JJ transit .	17	28	VBZ	helps	help
the process of arbitration is a positive way to resolve conflicts where NN and mediation failed .	1	4	VBZ	is	are
the webster NNP high school building has 84 classrooms along with an auditorium , a media center , and a theater .	5	6	VBZ	has	have
route CD is the internal designation for NNP road , one of the two side roads in pennsylvania along with the bridge .	0	2	VBZ	is	are
the course is designed to introduce you to some JJ tools necessary for policy analysis , explore strategies for making policy analysis relevant to the policy debate , and develop some understanding of how policy analysis fits into the overall NN process .	35	36	VBZ	fits	fit
another ending is similar to the first one but removing zero who still has not been found and has decided to stay in the shadows since he believes the world is safe with x .	1	2	VBZ	is	are
the arms race continues and NN planning for war frequently continue .	2	3	VBZ	continues	continue
the only issue here is the quality of the article .	2	4	VBZ	is	are
the reason for deleting this article is that the topic itself is arbitrary and JJ , as VBN by the lack of google hits .	9	11	VBZ	is	are
despite efforts of NN , the NNP NNP can easily determine a subject 's origins and root language by VBG their speech patterns , NN , and NN , as jessica does when she realizes that a visiting VBG guild NN is a NNP agent .	40	41	VBZ	is	are
homer goes back to NNP 's RB to find the owner of the store and after much convincing from homer and NNP the owner opens up to sell homer a reed .	23	24	VBZ	opens	open
indefinite blocks are to force editors to VB .	1	2	VBP	are	is
although housed in a 200 year old building , the theatre uses state of the art technology .	10	11	VBZ	uses	use
the goal of a shell balance is to determine the velocity profile of the flow .	1	6	VBZ	is	are
it should be noted , however , that this criterion talks about a significant history , not a long history .	9	10	VBZ	talks	talk
while RB JJ , the dialects differ in both NN and certain aspects of NN .	5	6	VBP	differ	differs
the body is gold with a green band crossing it RB right to left ; the color gold stands for the wealth of the land and green stands for the beauty of the valley which is a gift from mother nature to NNP .	1	2	VBZ	is	are
VBN at the source 's NN treatment of its most loyal NN , NNP demands to be killed as well and the source grants NNP 's request .	22	23	VBZ	grants	grant
the way it is now , is perfect for them ( an afd where keep NNS delete results in delete ) .	1	6	VBZ	is	are
that name is the x factor fan site , and this is its log .	1	2	VBZ	is	are
this is because the island 's main economic sector is tourism , and this parish is home to the island 's largest hotel , the four seasons resort , which is the largest single employer on the island , second only to the government .	14	15	VBZ	is	are
some diana NNS use a slightly different NN and plastic composition , while other models have a PRP ' setting for time NNS .	2	3	VBP	use	uses
the school 's most recent additions include a music centre with an adjoining 1 , JJ hall .	5	6	VBP	include	includes
next , a screenwriter writes a screenplay over a period of several months .	3	4	VBZ	writes	write
letters describe findings of broad interest are generally five printed pages or shorter in length , while articles are comprehensive reports of research of `` immediate , broad , and lasting impact '' .	0	1	VBP	describe	describes
we never leave allegations floating , both sides need to be represented and everything about an alleged offence needs to be completely balanced , completely neutral and completely accurate and up to date .	7	8	VBP	need	needs
i was an active participant of spelling NNS until this year , and you will not believe how much stress these competitors have and how much nerve they have to even participate in the national spelling bee .	21	22	VBP	have	has
arizona 's JJ equivalent is `` setting aside '' a conviction .	3	4	VBZ	is	are
the red NNP source seems to have a one line mention of the company , which is not significant coverage .	3	4	VBZ	seems	seem
as there has been no conviction for those murders , the legal system does not know who the killer is .	18	19	VBZ	is	are
independent NNS are usually unable to acquire catch shares due to financial limitations , and often can not financially survive within these systems .	1	2	VBP	are	is
in mathematics , JJ geometry is a small set of NNS based on NNS closely related to those VBG JJ geometry .	4	5	VBZ	is	are
NNP 's costume is one of the more constant throughout the productions .	2	3	VBZ	is	are
its official colours are blue , white and red and the mascot is a NNP .	2	3	VBP	are	is
during festivals and in formal ceremonies , which involve dances for males , the long house space is VBN ; the centre of the long house is the most important area where the dance takes place .	21	26	VBZ	is	are
the player has the option of choosing either a male or female character .	1	2	VBZ	has	have
they held that external differences such as rank and wealth are of no importance in social relationships .	4	10	VBP	are	is
if the answer is `` yes '' then that person belongs in this category .	9	10	VBZ	belongs	belong
the moth therefore has the cellular NNS for JJ colour vision .	1	3	VBZ	has	have
the content of the page in question seems hardly worth the NN , though i think we all recognize that the RB JJ interaction pattern needs fixing .	24	25	VBZ	needs	need
station is in NNP city , NNP prefecture .	0	1	VBZ	is	are
the company is currently part of the JJ british american tobacco ( bat ) .	1	2	VBZ	is	are
his special distance is 3000 metres NN , a distance in which he competed at the 2005 world championships .	2	3	VBZ	is	are
you might think it is unnecessary to illustrate an article about a company or organization with its logo , but most editors do not .	21	22	VBP	do	does
the NNP NNP site is one of the most prominent early new stone age sites discovered so far in kosovo , typical for NNP culture , respectively the sixth millennium bc , reflecting one of the most developed NNS of this time .	3	4	VBZ	is	are
i believe a page they created was RB deleted , and their current behavior stems from NN .	13	14	VBZ	stems	stem
his history , however , is not all vandalism ; he has at least one constructive edit that i can see .	1	5	VBZ	is	are
the usual format is to print a JJ picture of the stamp in each space , reduced in size so that a real stamp will cover it up , and add a thin frame around the stamp .	2	3	VBZ	is	are
it is not known how widespread the use of NNP is .	7	10	VBZ	is	are
we all know that this one is only here now because someone used it as a username .	5	6	VBZ	is	are
the NNP catalog contains over 250 albums , ranging from electric chicago blues and blues rock to acoustic NNP blues and west coast jump blues .	2	3	VBZ	contains	contain
the river has a complex flow pattern .	1	2	VBZ	has	have
